scenario_id,customer_line,technique_tag,elite_dialogue,fail_signals,mode,domain,difficulty,weight_class,is_active
"011","What's the total out-the-door price? I don't want to talk payments, I want the real number.","RESPECT then DELIVER","I love that question -- most people are afraid to ask it, and most salespeople are afraid to answer it. Your out-the-door total is [amount]. Vehicle, tax, title, registration, doc fee -- that's every dollar, right there. I'm not hiding behind a monthly payment because you didn't ask for one. Now you know exactly what we're working with. Does the number match what this car is worth to you?","refuses to give OTD | pivots to monthly payment against their stated preference | gets vague about fees","objection","financing","1","hybrid","true"
"012","I want the 72-month loan to keep payments low. Why are you pushing me toward 48 months?","EDUCATE without LECTURING","I'm not pushing -- I'm protecting you. At 72 months, here's what happens: three years from now when you want to trade, you'll still owe more than the car is worth. You'll be sitting across from someone like me saying 'I'm upside down.' The 48-month payment is higher, but you'll own it free and clear and you'll be in the driver's seat at trade-in time. I'll show you both on paper -- you pick the one that matches your plan.","pushes 48 months without showing the math | agrees to 72 without discussing tradeoffs | talks down to them about financial decisions","objection","financing","2","hybrid","true"
"013","I just put $3,000 into this car six months ago — new transmission, new brakes. You're telling me it's only worth $6,000?","EMPATHIZE WITH THE INVESTMENT","I hear you -- $3,000 is real money and it's obvious you took care of this car. Here's the hard truth though: repairs keep it running, but they don't change what buyers will pay. Market value comes down to year, miles, and demand. The good news? Those repairs are exactly why we're giving you top dollar for its condition. But every month you hold onto it, that number drops and you're not getting anything back. Why not put that value into something that's going up instead of down?","dismisses the repair investment | says ""repairs don't add value"" without empathy | can't explain why market value and repair cost are disconnected","objection","objection_handling","2","hybrid","true"
"014","I'm not trading in. I'll sell it private party and get way more than you'd give me.","AGREE then MATH IT OUT","You might get more on paper -- that's possible. But let me run the real math. When you trade in, you get a tax credit that could save you over a thousand dollars. Private party means weeks of strangers, test drives, tire-kickers, liability, and no guarantee it sells. When you net everything out, trading in usually puts more in your pocket with zero hassle. Let me show you both scenarios side by side -- it'll take sixty seconds.","says ""okay, good luck"" | argues that private party doesn't pay more | doesn't mention the tax credit","objection","objection_handling","2","hybrid","true"
"015","My car is in perfect condition. I don't care what wholesale book says, it's worth more.","EMPATHIZE THEN REFRAME. Acknowledge they've maintained it well. Market value is set by what buyers pay for similar vehicles now, not condition alone. Offer to show comparable sales data.","You've clearly taken great care of it. Market value comes from what similar cars are actually selling for right now. Let me pull up the comps so you can see exactly where our number comes from.","argues about condition | says ""the book is the book"" | doesn't offer to show data","objection","objection_handling","2","hybrid","false"
"016","I still owe $4,000 more than it's worth. How do we handle being upside down?","NORMALIZE then SOLVE","More people are in this exact situation than you'd think -- it's common. Here are your three options: roll the balance into the new loan, offset it with a down payment, or adjust the vehicle to close the gap. But here's what most people miss -- every month you keep making payments on a car that's losing value, you fall further behind. Trading now stops the bleeding. Which of those three makes the most sense for your situation?","says ""nothing we can do"" | hides the negative equity in the payment without being transparent | panics about the number","objection","financing","3","hybrid","true"
"017","I love it, but my wife needs to see it first. She'll kill me if I buy without her.","VALIDATE then STRUCTURE","I respect that -- big decisions should be made together. Let me ask you this: before you left the house, did you two talk about what the deal needed to look like? Because if you already know her numbers, let's lock those in right now so you're bringing home a done deal -- not starting over from scratch. Or better yet, want to FaceTime her right now and get her in on this?","says ""bring her in whenever"" | doesn't attempt to structure the deal | ignores the spouse entirely","objection","closing_technique","2","rapport_heavy","true"
"018","My husband handles the finances. I can't commit to anything without talking to him tonight.","EMPOWER then BRIDGE","I totally get it -- you should be on the same page. But think about this: you're the one who found the car, drove it, and loved it. Let's lock the numbers in exactly where you're comfortable so tonight you're showing him a finished deal, not asking permission to start shopping. If he's got questions, here's my direct number -- he can call me tonight. Sound fair?","defers completely | says ""have him come in"" without structuring anything | talks past her to address ""the real decision maker""","objection","closing_technique","2","rapport_heavy","true"
"019","We both like it, but we need to go home and talk about it. Can you hold it until tomorrow?","ISOLATE then PROPOSAL","Of course -- I want you to feel 100% right about this. Help me out: what specifically do you need to talk about -- the car, the numbers, or something else? Let me put the exact figures on paper so your conversation tonight is based on real numbers, not guesses. And on holding it -- I can't pull it off the market, but a small refundable deposit locks it in while you decide. Fair enough?","says ""sure, it'll be here"" with no deposit or commitment | doesn't isolate what they need to discuss | lets them leave with no proposal","objection","closing_technique","2","hybrid","true"
"020","I need to think about it. This is a big decision and I don't want to rush into anything.","VALIDATE then SURFACE","It IS a big decision -- I'd never rush you. But help me understand: is it the vehicle itself that's giving you pause, or something in the numbers? Because if it's the numbers, let me put a complete proposal together with exact figures so you're thinking about real data tonight, not guesswork. What's the one thing that's holding you back right now?","says ""take your time"" | doesn't ask what specifically they need to think about | accepts the stall at face value","objection","closing_technique","1","hybrid","true"
"021","We're not ready to buy today. We just started looking and want to see what else is out there.","RESPECT THEN BENCHMARK. They should see what's out there. Offer a quick proposal with best numbers so they have a solid benchmark to compare everything else against. Position as the standard.","That's smart -- you should see what's out there. Let me put together our best numbers so you have a real benchmark. If nobody beats it, you know where to come back.","says ""come back when you're ready"" | treats them as not worth the time | tries to hard-close someone who just walked in","objection","closing_technique","1","hybrid","false"
"022","I like it, but I want to sleep on it. If it's still here tomorrow, maybe we'll come back.","PROBE then URGENCY","I get it -- big purchase, want to make sure. Let me ask you this: what's going to be different tomorrow morning that isn't available to you right now? Because the car, the price, and the terms are all here today. What I can't guarantee is that it'll be here tomorrow -- but I can lock everything in with a fully refundable deposit so you don't lose this deal while you think it over. Want me to lock it in?","says ""it'll be here"" | doesn't ask what sleeping on it solves | doesn't offer a way to secure the deal","objection","closing_technique","1","hybrid","true"
"023","We literally just walked in. Can you stop trying to close me and just let us look?","DISARM completely","Hey -- you're right, I apologize. Zero pressure, I promise. I'm just here to point you in the right direction and answer questions when you have them. That's it. What caught your eye that brought you in today?","keeps pushing | gets defensive | says ""I wasn't trying to close you"" argumentatively","objection","objection_handling","1","hybrid","true"
"024","Every time I buy a car it takes 5 hours. I don't have time for that today.","OWN IT then COMMIT","You know what -- you're right, and that's on us as an industry. I'll tell you right now: I can have you out of here in 90 minutes or less. If I go over that, you can walk out and I'll bring the paperwork to you. I'm dead serious. What time do you need to be somewhere? Let's work backward from that.","says ""it won't take that long"" without specifics | ignores the concern | can't give a time estimate","objection","objection_handling","1","hybrid","true"
"025","I don't want to deal with a sales manager. Can you just give me a straight answer on price?","ALIGN then DELIVER","Then you're talking to the right person. Here's your price: [amount]. No manager, no back room, no four-square worksheet. That's the number, and I'm standing behind it. If a manager shows up at any point, it's because I brought them in to get you something BETTER, not to squeeze you. You set the pace here. What else do you need to know?","says ""I have to check with my manager"" immediately | can't give any pricing information | gets evasive","objection","objection_handling","1","hybrid","true"
"026","Last time I bought here, the finance guy added a bunch of stuff I didn't ask for. Not happening again.","ACKNOWLEDGE then PROMISE","That's not okay and I'm sorry that happened to you. Here's my promise: I'm going to walk you through exactly what finance is going to present -- what's required and what's optional. Everything optional, you say yes or no. Nothing gets added without you specifically asking for it. And I'll sit in there with you to make sure of it. Fair enough?","defends the previous experience | says ""that doesn't happen here"" dismissively | can't explain what's optional vs required","objection","objection_handling","2","hybrid","true"
"027","How do I know you're not just telling me what I want to hear to get the sale?","EARN IT with PROOF","That's a fair question -- and I'm not going to tell you to trust me, because that doesn't mean anything. What I will do is show you everything in writing: the market comparison, the inspection report, the vehicle history. You can verify anything I've said on your phone right now, sitting right here. I'd rather prove it than promise it. What's the main thing you want to verify?","says ""trust me"" | gets offended | can't back up claims with documentation","objection","objection_handling","2","hybrid","true"
"028","I test drove the competitor yesterday and honestly I liked it better. Convince me otherwise.","ASK then DIFFERENTIATE","I appreciate you being honest -- that actually helps me. What specifically felt better? Was it the ride, the features, the interior, or the price? Because each of those is a different conversation. And if you haven't driven ours today, I need you behind the wheel before you make a final call -- because feel is something you experience, not something I can talk you into. Want to take it out right now?","trash-talks the competitor | argues without asking what they liked | doesn't offer a test drive","objection","competitive_positioning","2","hybrid","true"
"029","The other dealer said they'd throw in free maintenance for 3 years. Can you match that?","VALUE-CHECK","That sounds great on paper -- let me ask you though, what's included in that free maintenance? Because usually it's just oil changes, which run about $200 a year. So that's a $600 perk over three years. Now let me show you where our deal beats theirs by more than $600 -- purchase price, warranty, reconditioning. Their free oil changes are a small carrot hiding a bigger gap somewhere else. Want to see the side by side?","immediately matches without analyzing | says ""we don't do that"" | can't articulate the total deal difference","objection","competitive_positioning","2","hybrid","true"
"030","Consumer Reports rates your competitor higher in reliability. That worries me.","ACKNOWLEDGE then CONTEXTUALIZE","Consumer Reports is solid -- I read it too. Here's what to know though: those ratings are fleet averages across every model year, not this specific car sitting in front of you. Let me show you this vehicle's actual inspection results and service history -- real data on the car you'd actually be driving. That's what tells you what THIS car will do for you. Want to see it?","dismisses Consumer Reports | argues about methodology | has no vehicle-specific data to counter with","objection","competitive_positioning","3","hybrid","true"
"031","""We're just looking."" (Customer enters lot, arms crossed, clearly guarded.)","DISARM THEN GUIDE. Remove all buying pressure immediately. Ask one casual question to start rapport. Let them lead. Make them comfortable before attempting to sell anything.","No problem at all -- I'm just here to point you in the right direction. What caught your eye that brought you in today? Take your time, no rush.","immediately pitches a car | asks ""what's your budget"" | ignores the body language and goes into a full presentation","roleplay","product_knowledge","1","hybrid","false"
"032","""Do you have this in white? That's the only color we want."" (You don't have white in stock.)","BYPASS COLOR then INVESTIGATE","I hear you on white -- great choice. Let's walk out and look at what we have in that model right now. Quick question -- who's this for, you or both of you? Come on, walk with me, I'll show you everything we've got.","says ""no, but I can order one"" | says ""we only have black and silver"" | lets color kill the deal without showing anything","roleplay","product_knowledge","2","hybrid","true"
"033","We're comparing three different brands today. You're our second stop. Go.","MATCH THEIR ENERGY then DIFFERENTIATE","I like it -- let's not waste your time. Tell me two things: what did you like at your first stop, and what didn't you like? Because whatever they missed is exactly where I'm going to start. Let's go.","gets intimidated by the directness | starts a generic presentation ignoring what they saw elsewhere | bashes the competitor brands","roleplay","competitive_positioning","2","hybrid","true"
"034","""I saw your ad for $26,999. Show me that exact car."" (It's the stripped base model.)","SHOW IT then UPGRADE","Absolutely -- let me walk you right to it, it's right here. This is the one from the ad, exactly as listed. Now -- see this one right next to it? Same car, but it's got [key features]. The difference in payment is about [amount] a month. Most people find that gap is worth it once they see what they're getting. Want to sit in both and compare?","says ""that one's sold"" when it isn't | steers them away without showing the ad car | can't explain the difference between trims","roleplay","product_knowledge","2","hybrid","true"
"035","My daughter just got her license. I need something safe and cheap. What do you have?","LEAD WITH SAFETY then BUDGET","Congratulations! Let me ask you something: what scares you most about her driving? Is it other drivers, bad weather, her being distracted? Because the answer changes which features matter most. If it's other drivers -- automatic emergency braking is non-negotiable. If it's distractions -- lane departure warning catches her before she drifts. Let me show you two or three that match YOUR specific worry, then we'll find one that fits the budget.","immediately shows the cheapest car on the lot | ignores the safety concern and goes to price | doesn't ask about the daughter's driving needs","roleplay","product_knowledge","1","hybrid","true"
"036","We need something that fits three car seats in the back. What works?","GET SPECIFIC then DEMONSTRATE","Three car seats -- that narrows it down fast. Quick question: what types -- infant carriers, convertible seats, boosters? Because that changes which vehicles actually fit. Did you bring one with you? If so, let's physically try it right now in a couple options I know work -- nothing beats seeing it fit with your own eyes. If not, I'll show you the measurements and we can test when you come back.","guesses without asking about seat types | recommends a vehicle without verifying it fits 3 seats | doesn't offer a hands-on demo","roleplay","product_knowledge","2","hybrid","true"
"037","I drive 80 miles round trip to work every day. Fuel economy is everything to me.","QUANTIFY THE SAVINGS","80 miles a day -- let's do the math right now. That's over 20,000 miles a year. The difference between 25 MPG and 35 MPG at current gas prices saves you roughly $800 to $1,000 a year -- that's $70 to $80 a month back in your pocket. When you apply that to your payment, the car you think is out of budget might actually cost you less than what you're driving now. Want me to run your exact numbers?","says ""it gets good gas mileage"" without specifics | can't do the math | doesn't connect fuel savings to monthly cost","roleplay","product_knowledge","2","hybrid","true"
"038","I tow a 5,000-pound boat every weekend. What can handle that?","KNOW THE SPECS then MATCH","5,000 pound boat -- let me ask a few things first. What's the full trailer weight with gear? How far are you towing? Highway or hills? Because I never want to put you in something rated at exactly your load -- you need margin. I've got a couple options with integrated brake controllers, tow/haul mode, and transmission coolers built in. Let me show you the one that fits your setup best.","recommends without asking about the full tow setup | suggests a vehicle at its max tow rating | doesn't know tow-specific features","roleplay","product_knowledge","3","hybrid","true"
"039","I want something that holds its value. I lost $8,000 on my last trade-in.","EMPATHIZE then EDUCATE","That $8,000 hit -- I don't want that to happen again either. So let me change how you think about car buying: the real price of a car isn't what you pay for it. It's the difference between what you pay and what you get back when you're done with it. A $35K car that's worth $25K at trade-in cost you $10K to drive. A $30K car that's worth $18K cost you $12K. The more expensive car was actually cheaper. Let me show you which ones on our lot play that math in your favor.","ignores the $8K pain | can't speak to residual values | recommends based on price alone without addressing value retention","roleplay","product_knowledge","2","hybrid","true"
"040","I'm a contractor. I need a work truck that can take a beating. What's the warranty like?","MATCH USE CASE then WARRANTY DEEP-DIVE","Contractor -- so this truck is making you money. Let me ask: what kind of payload are you hauling, how far are you driving daily, and are you using the bed for tools or materials? Because here's what most salespeople won't tell you -- some warranties exclude commercial use. I need to make sure you're covered for how you actually use it, not just how it looks on paper. Let me walk you through exactly what's covered and what's not.","gives generic warranty overview | doesn't ask about commercial use exclusions | can't differentiate between warranty tiers","roleplay","product_knowledge","3","hybrid","true"
"041","I already know everything about this car from YouTube. Just let me drive it.","RESPECT then ADD VALUE","Perfect -- let's go right now. But I'm going to ruin YouTube for you, because after this drive you're going to realize every review you watched was filmed on smooth California roads with no traffic. I'm taking you on the roads YOU actually drive -- the pothole on [local road], highway merging, that tight parking garage downtown. You're going to know this car the way you'll actually live with it. Ready?","forces a full walkaround presentation they didn't ask for | says ""you probably don't know everything"" | treats the demo as just a test drive with no added value","roleplay","product_knowledge","2","hybrid","true"
"042","Why should I pay $5,000 more for the top trim? What do I actually get?","CONNECT FEATURES TO THEIR LIFE","Great question -- let me make it real instead of reading you a list. What matters most to you day to day? Is it the drive, the comfort, the tech? Because that $5,000 over 60 months is about $83 a month, and here's what that buys you: [features matched to what they said]. The people who get the top trim don't buy features -- they buy a better daily experience. Want to sit in both back to back?","reads the features list without connecting to their needs | can't justify the price gap | says ""it's just nicer"" without specifics","roleplay","product_knowledge","2","hybrid","true"
"043","I don't care about the infotainment system. Tell me about what's under the hood.","LISTEN then DELIVER","My kind of buyer. Forget the screen -- here's what you actually care about. [Horsepower], [torque], and the transmission is [type] so you feel every bit of it. The competitor at the same price? They're [number] horsepower short and they hide it with a numb throttle. This one doesn't fake it. Want to feel the difference? I'm not going to talk you into it -- the car will do that. Let's go.","keeps talking about the screen anyway | says ""it's got a great engine"" without specs | can't compare to competitors with numbers","roleplay","product_knowledge","2","hybrid","true"
"044","Walk me through the safety features. I was in an accident last year and it changed how I buy.","ACKNOWLEDGE then GO DEEP","I'm glad you're okay -- I get why that changed everything. Here's what this car does to prevent it from happening again. Automatic emergency braking -- sees a car stopping and brakes before you can react. Blind spot monitoring -- alerts you before you change lanes into someone. Lane departure -- pulls you back if you drift. This car works to prevent a crash, not just survive one. Want to see them in action on a drive?","lists features without connecting to their accident experience | says ""it's really safe"" generically | doesn't know which safety features are active vs passive","roleplay","product_knowledge","2","hybrid","true"
"045","Is this the same platform as last year's model or did they actually change anything?","KNOW THE ANSWER","Honest answer: [same/new platform]. And I'm not going to pretend everything is new when it isn't. What DID change is [2-3 specific updates]. Here's why that matters more than a new platform: the engineers spent a full year fixing what real owners complained about instead of starting over. You're getting a refined version of something that was already good, not a first-year experiment. That's the sweet spot. Want me to show you what's different?","doesn't know the answer | says ""it's all new"" when it isn't | can't name specific changes from the prior model year","roleplay","product_knowledge","3","hybrid","true"
"046","Hey, I was in your dealership last Saturday looking at that SUV. Just calling to check if it's still there.","CONFIRM THEN ADVANCE. Tell them it's available (or pivot to similar). Create real urgency without faking it. Lock a specific appointment time. Don't leave it open-ended.","It's still here, but I've had two other people asking about it this week. I'd love to get you back in before it moves. Do you have 30 minutes today or tomorrow?","just says ""yep, it's here"" with no next step | creates fake urgency (""someone's coming to buy it in an hour"") | doesn't set a specific appointment","roleplay","closing_technique","1","hybrid","false"
"047","You texted me yesterday about coming back in. I told you I'm not ready yet. Stop pushing.","APOLOGIZE then REPOSITION","You're right -- I overstepped, and I'm sorry. That wasn't service, that was pressure, and there's a difference. I'm backing off completely. But I don't want to disappear either, because when you ARE ready, I want to be the guy who already knows what you're looking for. So here's what I'll do: I'll check in once a month with something useful -- not a pitch, just market info. If that's too much, tell me and I'll stop. Fair?","gets defensive | keeps pushing | says ""sorry, won't bother you again"" and abandons the lead entirely","roleplay","closing_technique","2","hybrid","true"
"048","I bought from your competitor last week. Your salesperson never followed up, so I went elsewhere.","OWN IT then FUTURE-SELL","That's on us -- I'm not going to make excuses. But can I be honest with you? The fact that you came here first means we had the car you wanted, at a number that worked. We lost this deal on follow-up, not on value. I'm not letting that happen again. Congrats on the new car -- and when it's time for the next one, I want to be the first call you make, not the last. Can I earn that?","makes excuses | blames the other salesperson | doesn't ask to stay in contact for next time","roleplay","closing_technique","2","hybrid","true"
"049","I visited three weeks ago and nobody ever called me back. I'm giving you one more chance.","APOLOGIZE THEN OVER-DELIVER. Show urgency and accountability. Pull up where you left off. Commit to updated numbers within the hour. Lock a contact method. They're angry but still interested.","I'm sorry about that -- you deserved better. Let me pull up where we left off and I'll have updated numbers for you within the hour. Best way to reach you -- call or text?","makes excuses about staffing | doesn't apologize | treats it as a routine callback instead of a recovery situation","roleplay","closing_technique","2","hybrid","false"
"050","I left a message with your BDC two days ago and nobody returned my call. Is this how you do business?","TAKE PERSONAL OWNERSHIP","That's not the experience anyone should have here, and I take full responsibility. I'm handling this personally from right now. What were you calling about? Let me get you answers while I have you on the phone -- no more waiting.","blames the BDC | says ""I'll look into it"" without solving the problem now | gets defensive about the process","roleplay","closing_technique","2","hybrid","true"
"051","We love it. But before we sign anything, what's the total damage including every single fee?","FULL TRANSPARENCY. Give complete OTD breakdown line by line: vehicle price, tax, title, registration, doc fee, any accessories. No surprises. Transparency at this stage builds closing trust.","Here's every dollar -- vehicle price, tax, title, registration, and doc fee. Nothing hidden, nothing extra. I'd rather you see it all now than feel surprised later.","gets vague about fees | says ""we'll go over that in finance"" | can't itemize the total","roleplay","closing_technique","1","hybrid","false"
"052","I'll buy it right now if you can get me $450 a month with nothing down. Otherwise I'm out.","WORK THE MATH BACKWARD","Let me work that number and see what I can do. Quick question though -- if I'm close but not exactly at $450 with zero down, is there any flexibility? Even $500 down could bridge the gap. I've got a few levers to pull -- term, rate, down payment -- and I want to get you as close to that number as possible. Give me five minutes to run it.","says ""we can't do that"" flat out | agrees without checking the math | stretches to 84 months silently","roleplay","closing_technique","2","hybrid","true"
"053","We want it, but we need to leave in 30 minutes. Can you make this happen that fast?","COMMIT TO THE TIMELINE","Absolutely -- let's make it happen. I'm starting the paperwork right now and I'll have finance ready for you. If anything takes longer than 30 minutes, here's what we'll do: you sign, take the car, and I'll handle the rest by phone or email tomorrow. I'm not letting time kill this deal. Let's go.","says ""it usually takes longer than that"" | lets them leave to ""come back when they have more time"" | can't prioritize steps to compress the process","roleplay","closing_technique","2","hybrid","true"
"054","I like the car but I'm not sure about your dealership. What happens if I have problems after the sale?","SELL THE RELATIONSHIP","That's the right question -- and here's my answer. After you drive off, here's my personal cell number. Any problem, any question, you call me first. Beyond that, our service department is open [hours], we have loaner cars available, and our warranty process is straightforward -- I'll walk you through it. Let me introduce you to [service manager name] right now so you know exactly who's taking care of you. Come with me.","says ""we have great service"" generically | can't describe the post-sale process | doesn't offer a personal connection for after the sale","roleplay","closing_technique","2","rapport_heavy","true"
"055","Okay, I think we're ready. Walk me through exactly what happens from here to driving off the lot.","CLEAR ROADMAP","Great -- and I don't want any surprises for you from here. We finalize the numbers, you'll spend about 15 minutes in finance where they'll present some optional products -- I'll tell you right now, everything in there is optional and you can say no to all of it. Then I walk you through every feature before you drive off. 45 minutes total. The reason I'm telling you this now is so nothing catches you off guard. Ready?","can't explain the process clearly | says ""it depends"" | doesn't set a time expectation","roleplay","closing_technique","1","hybrid","true"
"056","What's the actual difference between AWD and 4WD? My customer asked and I froze.","AWD vs 4WD KNOWLEDGE","AWD is always on -- it automatically sends power where it's needed. Best for rain, snow, everyday driving. Your customer never touches a button. 4WD is selectable -- the driver engages it for off-road, heavy towing, rough terrain. It uses a transfer case the driver controls. Simple way to explain it to a customer: AWD does the thinking for you, 4WD lets you take control. Match it to how they actually drive and you'll sell the right one every time.","uses the terms interchangeably | can't explain when one is better than the other | says ""they're basically the same thing""","quiz","product_knowledge","1","fact_heavy","true"
"057","A customer asks: 'What makes your SUV safer than the competition?' Name three specific features.","THREE SPECIFIC DIFFERENTIATORS","You need three specifics that differentiate, not just feature names. For example: 'Our forward collision system uses radar AND camera fusion -- some competitors only use camera. Our side curtain airbags extend to the third row. Our structural cage uses ultra-high-strength steel at the A and B pillars.' Know YOUR brand's three strongest differentiators and have them ready. Specificity is what separates you from every rep who just says 'it's really safe.'","says ""it has lots of airbags"" | can't name specific technologies | names features every competitor also has without differentiating","quiz","product_knowledge","2","fact_heavy","true"
"058","Explain the difference between the base trim and the top trim in a way that justifies the price gap.","CONNECT TO DAILY LIFE. Don't list features -- translate them into experiences. Break down the monthly cost difference to show the daily quality-of-life improvement is worth the gap.","The base gets you from A to B. The top trim adds heated seats, panoramic roof, and premium sound -- it turns your commute into something you enjoy. That's about $70 a month difference.","reads a feature comparison list | can't articulate the experiential difference | doesn't break down the monthly cost gap","quiz","product_knowledge","2","fact_heavy","false"
"059","A customer says their current car gets 35 MPG. How do you position a vehicle that only gets 28?","ACKNOWLEDGE then TOTAL-COST","Don't argue the MPG -- they'll win that fight. Acknowledge it: 'You're right, it's 7 MPG less. At 15,000 miles a year, that's roughly $30 to $40 more per month in gas depending on prices. But this vehicle has lower insurance rates, stronger resale value, and the safety features that protect your family. That $30 buys you a lot.' Shift from MPG to total cost of ownership -- when the monthly gap is small and the value gap is big, you win.","argues that 28 is ""still good"" | can't do the cost-per-month math | ignores the MPG concern entirely","quiz","product_knowledge","2","fact_heavy","true"
"060","What does the CPO warranty actually cover versus the standard factory warranty? Be specific.","CPO vs FACTORY WARRANTY","Factory warranty covers manufacturer defects for a set period from the original purchase date -- your brand will have specific years and miles. CPO adds on top of that: extended powertrain coverage, usually roadside assistance, and sometimes a per-visit deductible. The biggest selling point most reps miss: CPO warranty is transferable to the next owner, which boosts resale value. Know your brand's exact numbers cold -- 'I think it's 7 years' kills your credibility. Have the terms memorized.","doesn't know the difference | gives vague ""it covers more stuff"" answer | can't cite specific terms or coverage lengths","quiz","product_knowledge","2","fact_heavy","true"
"061","Your customer says 'I need to think about it.' What's the first thing you say?","AGREE then ISOLATE","First words out of your mouth: 'I completely understand -- it's a big decision.' Then immediately: 'Help me understand -- is it the vehicle itself, or something in the numbers?' You're taking a vague stall and turning it into a specific, solvable problem. If they say numbers, you can fix numbers. If they say the car, you're on the wrong car. Never say 'okay, take your time' -- that's giving them permission to walk without buying.","says ""okay, no problem"" | starts discounting | doesn't ask what specifically they need to think about","quiz","closing_technique","1","hybrid","true"
